id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4290893,Serviced apartment in Zurich · ★4.33 · 1 bedroom · 1 bed · 1 bath,17484617,Marie,Kreis 6,Unterstrass,47.38368,8.53995,Entire home/apt,220,7,6,2021-10-28,0.06,22,189,0,
4315829,Townhouse in Zurich · ★4.97 · 1 bedroom · 1 bed · Shared half-bath,22404783,Silvia,Kreis 7,Witikon,47.35655,8.59939,Private room,95,2,62,2023-06-14,0.64,2,283,24,
4368558,Rental unit in Zurich · 1 bedroom · 2 beds · 1 bath,17455976,Simon,Kreis 4,Hard,47.38095,8.50514,Entire home/apt,118,100,2,2015-05-23,0.02,1,365,0,
4381761,Rental unit in Zürich · ★4.82 · 3 bedrooms · 4 beds · 1 bath,1926619,Stefan,Kreis 4,Langstrasse,47.3767,8.52546,Entire home/apt,410,1,67,2023-06-18,0.89,1,37,3,
4413887,Rental unit in Zurich · ★5.0 · Studio · 1 bed · 1 bath,22911763,Greg,Kreis 8,Seefeld,47.36035,8.54788,Entire home/apt,165,2,4,2015-05-22,0.04,1,0,0,
4425602,Rental unit in Zurich · ★4.54 · 1 bedroom · 1 bed · 1 bath,1006097,Franziska,Kreis 9,Altstetten,47.39234,8.4779,Entire home/apt,118,1,77,2023-06-25,0.76,1,191,18,
4425760,Rental unit in Zurich · ★4.94 · 2 bedrooms · 2 beds · 1 bath,2963607,Sandra,Kreis 6,Unterstrass,47.3901,8.53958,Entire home/apt,120,7,37,2023-01-07,0.36,1,17,2,
4460481,Rental unit in Zurich · ★4.93 · 1 bedroom · 1 bed · 1.5 baths,12051025,Churyon,Kreis 9,Altstetten,47.38904,8.48716,Private room,63,3,102,2023-06-11,1.11,1,19,14,
4475762,Rental unit in Zürich · ★4.75 · 1 bedroom · 2 beds · 1 bath,3483049,Demian,Kreis 10,Wipkingen,47.39301,8.52938,Entire home/apt,75,80,12,2023-05-31,0.12,1,0,2,
4531677,Rental unit in Zurich · ★4.54 · 1 bedroom · 1 bed · 1.5 shared baths,7698073,Christos,Kreis 2,Enge,47.36123,8.53382,Private room,70,1,13,2020-01-05,0.13,4,0,0,
