"id","name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","MunicipalityBFSNr","FactsEnglish","OffencesTotal","Residents","BurglariesPerResident","avg.price"
15653745,"Nice 2.5 room Raspberry I Apartment","Kreis 11","Oerlikon",47.40802,8.54762,"Entire home/apt",575,261,"TotalCrime",400,73223,0.00546276443194078,1540
15654684,"Nice 2.5 room Raspberry II Apartment","Kreis 11","Oerlikon",47.40802,8.54762,"Entire home/apt",575,261,"TotalCrime",400,73223,0.00546276443194078,1540
15654860,"Nice 2.5 room Raspberry III Apartment","Kreis 11","Oerlikon",47.40802,8.54762,"Entire home/apt",575,261,"TotalCrime",400,73223,0.00546276443194078,1540
15672243,"Nice 2.5 room Raspberry IV Apartment","Kreis 11","Oerlikon",47.40802,8.54762,"Entire home/apt",575,261,"TotalCrime",400,73223,0.00546276443194078,1540
15672687,"Nice 2.5 room Blueberry II Apartment","Kreis 11","Oerlikon",47.40802,8.54762,"Entire home/apt",575,261,"TotalCrime",400,73223,0.00546276443194078,1540
15673613,"Nice 2.5 room Blueberry III Apartment","Kreis 11","Oerlikon",47.40802,8.54762,"Entire home/apt",575,261,"TotalCrime",400,73223,0.00546276443194078,1540
15673758,"Nice 2.5 room Blueberry IV Apartment","Kreis 11","Oerlikon",47.40802,8.54762,"Entire home/apt",575,261,"TotalCrime",400,73223,0.00546276443194078,1540
15673943,"Nice 1 room Cranberry II Apartment","Kreis 11","Oerlikon",47.40802,8.54762,"Entire home/apt",575,261,"TotalCrime",400,73223,0.00546276443194078,1540
15674116,"Nice 1 room Cranberry III Apartment","Kreis 11","Oerlikon",47.40802,8.54762,"Entire home/apt",575,261,"TotalCrime",400,73223,0.00546276443194078,1540
15674393,"Nice 1 room Cranberry IV Apartment","Kreis 11","Oerlikon",47.40802,8.54762,"Entire home/apt",575,261,"TotalCrime",400,73223,0.00546276443194078,1540
15712965,"Letzigrund White Apartment","Kreis 9","Altstetten",47.38645,8.50316,"Entire home/apt",575,261,"TotalCrime",350,55824,0.00626970478647177,1569
15764019,"Letzigrund Gold Apartment","Kreis 9","Altstetten",47.38645,8.50316,"Entire home/apt",575,261,"TotalCrime",350,55824,0.00626970478647177,1569
15765564,"Letzigrund Chestnut Apartment","Kreis 9","Altstetten",47.38645,8.50316,"Entire home/apt",575,261,"TotalCrime",350,55824,0.00626970478647177,1569
15765855,"Letzigrund Aqua Apartment","Kreis 9","Altstetten",47.38645,8.50316,"Entire home/apt",575,261,"TotalCrime",350,55824,0.00626970478647177,1569
15765978,"Letzigrund Black Apartment","Kreis 9","Altstetten",47.38645,8.50316,"Entire home/apt",575,261,"TotalCrime",350,55824,0.00626970478647177,1569
15766507,"Letzigrund Bordeaux Apartment","Kreis 9","Altstetten",47.38645,8.50316,"Entire home/apt",575,261,"TotalCrime",350,55824,0.00626970478647177,1569
15766649,"Letzigrund Copper Apartment","Kreis 9","Altstetten",47.38645,8.50316,"Entire home/apt",575,261,"TotalCrime",350,55824,0.00626970478647177,1569
15766767,"Letzigrund Coral Apartment","Kreis 9","Altstetten",47.38645,8.50316,"Entire home/apt",575,261,"TotalCrime",350,55824,0.00626970478647177,1569
15766962,"Letzigrund Ebony Apartment","Kreis 9","Altstetten",47.38645,8.50316,"Entire home/apt",575,261,"TotalCrime",350,55824,0.00626970478647177,1569
15780378,"Letzigrund Indigo Apartment","Kreis 9","Altstetten",47.38645,8.50316,"Entire home/apt",575,261,"TotalCrime",350,55824,0.00626970478647177,1569
15780649,"Letzigrund Lemon Apartment","Kreis 9","Altstetten",47.38645,8.50316,"Entire home/apt",575,261,"TotalCrime",350,55824,0.00626970478647177,1569
15780767,"Letzigrund Lime Apartment","Kreis 9","Altstetten",47.38645,8.50316,"Entire home/apt",575,261,"TotalCrime",350,55824,0.00626970478647177,1569
15781029,"Letzigrund Mint Apartment","Kreis 9","Altstetten",47.38645,8.50316,"Entire home/apt",575,261,"TotalCrime",350,55824,0.00626970478647177,1569
15782017,"I am subletting my cosy flat perfectly situated","Kreis 4","Hard",47.37985,8.51411,"Entire home/apt",148,261,"TotalCrime",303,27765,0.010913019989195,1656
15782270,"Big, clean and wonderful place to stay from n days","Kreis 11","Oerlikon",47.4111,8.53266,"Private room",52,261,"TotalCrime",400,73223,0.00546276443194078,1540
15796209,"top modern 3.5 room loft apartment, hip urban city","Kreis 5","Escher Wyss",47.38735,8.51522,"Entire home/apt",184,261,"TotalCrime",194,15331,0.012654099536886,1801
15796740,"Letzigrund Olive Apartment","Kreis 9","Altstetten",47.38645,8.50316,"Entire home/apt",575,261,"TotalCrime",350,55824,0.00626970478647177,1569
15796875,"Letzigrund Pink Apartment","Kreis 9","Altstetten",47.38645,8.50316,"Entire home/apt",575,261,"TotalCrime",350,55824,0.00626970478647177,1569
15797256,"Letzigrund Rose Apartment","Kreis 9","Altstetten",47.38645,8.50316,"Entire home/apt",575,261,"TotalCrime",350,55824,0.00626970478647177,1569
15797502,"Letzigrund Silver Apartment","Kreis 9","Altstetten",47.38645,8.50316,"Entire home/apt",575,261,"TotalCrime",350,55824,0.00626970478647177,1569
15853113,"helles Zimmer in angenehmer 3er WG, top Anbindung","Kreis 11","Seebach",47.4144,8.55859,"Private room",79,261,"TotalCrime",400,73223,0.00546276443194078,1540
15862347,"Zürich Unterstrass","Kreis 10","Wipkingen",47.40063,8.53103,"Private room",75,261,"TotalCrime",180,39719,0.00453183614894635,1614
15863621,"AUF ZEIT (04/17- ca. 06/18); 3.5-Zimmer-Wohnung","Kreis 12","Saatlen",47.40756,8.55934,"Entire home/apt",85,261,"TotalCrime",114,31402,0.00363034201643207,1254
15879427,"GDN AU Apartment 1","Kreis 3","Alt-Wiedikon",47.35994,8.52206,"Entire home/apt",134,261,"TotalCrime",304,48865,0.00622122173334698,1564
15946738,"Large and bright apartment - Quiet but central","Kreis 6","Oberstrass",47.38724,8.5516,"Entire home/apt",180,261,"TotalCrime",221,33665,0.00656468141987227,1731
16045646,"Lovely 2.5 apt in Kreis 4,close to tram/train/bus","Kreis 3","Sihlfeld",47.37686,8.51255,"Entire home/apt",135,261,"TotalCrime",304,48865,0.00622122173334698,1564
