"neighbourhood_group","avg.price"
"Kreis 1",2317
"Kreis 8",2237
"Kreis 7",1992
"Kreis 2",1803
"Kreis 5",1801
"Kreis 6",1731
"Kreis 4",1656
"Kreis 10",1614
"Kreis 9",1569
"Kreis 3",1564
"Kreis 11",1540
"Kreis 12",1254
