"id","name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price"
757808596296685312,"Modern flat near Lake Zurich and centre","Kreis 2","Wollishofen",47.33648,8.53211,"Entire home/apt",180
758515954963950720,"Studio in Zurich city","Kreis 11","Oerlikon",47.40399,8.54475,"Entire home/apt",78
758552639674822016,"Wohnung in Zürich","Kreis 3","Sihlfeld",47.37593,8.51359,"Entire home/apt",260
758640360330419200,"New, clean and cosy apartment all furnished.","Kreis 11","Affoltern",47.42067,8.50378,"Entire home/apt",110
759177367989242240,"[XStay NL | Expats] CH # Zürich","Kreis 2","Wollishofen",47.35004,8.52712,"Entire home/apt",197
759363385554645120,"1br Apartment in Wollishofen near lake & mountain","Kreis 2","Wollishofen",47.35025,8.52774,"Entire home/apt",110
759366390787258112,"Schönes Doppelzimmer in Wohnung mit Terrasse","Kreis 7","Witikon",47.357598,8.5993117,"Private room",44
759689794331692544,"Modern apartment in the heart of Wiedikon","Kreis 3","Sihlfeld",47.3698,8.51028,"Entire home/apt",178
759975466359186432,"Gemütliches Zimmer in zentraler Wohnung","Kreis 11","Oerlikon",47.40545,8.54942,"Private room",67
760212387140568064,"Furnished flat in front of Zürich HB","Kreis 4","Langstrasse",47.37913,8.53797,"Entire home/apt",132
760519624206359680,"Lovely bedroom with shared Bathroom in Rooftop Apt","Kreis 6","Unterstrass",47.38618,8.54284,"Private room",90
760680834784394880,"Private room with a separate bath in a lovely flat","Kreis 11","Seebach",47.4146,8.55756,"Private room",120
760887191355832448,"cosy private room in Oerlikon","Kreis 11","Seebach",47.41578,8.54623,"Private room",80
760932355732179968,"1 Zimmer Wohnung nähe See, super Lage, sehr ruhig","Kreis 8","Mühlebach",47.36204,8.55161,"Entire home/apt",90
761273900784265728,"Schöne 1,5 Zimmer Wohnung in Zürich City","Kreis 9","Altstetten",47.3888313,8.4849909,"Entire home/apt",90
761544444376051200,"Cozy room in the heart of Zurich","Kreis 3","Alt-Wiedikon",47.3648283,8.5165397,"Private room",70
761605271086782720,"Cosy, super central and affordable flat in Zurich","Kreis 6","Unterstrass",47.37944,8.54545,"Entire home/apt",157
761965484257224832,"Cosy apartment in Zurichberg","Kreis 7","Fluntern",47.3764,8.56792,"Entire home/apt",170
762040301135398400,"Intero appartamento vicino al centro di Zurigo","Kreis 11","Affoltern",47.4167448458714,8.50790865719318,"Entire home/apt",163
762135776495249152,"Neues serviced Apartment in Zürich","Kreis 2","Leimbach",47.330555,8.5164219,"Entire home/apt",139
762376565279134080,"Luxury Apartment in the Center","Kreis 9","Altstetten",47.39435,8.48435,"Entire home/apt",287
763016749336036480,"THE cosy BIJOU downtown","Kreis 1","Lindenhof",47.37224,8.53956,"Entire home/apt",175
763133817601984512,"Apt in heart of Zurich old town","Kreis 1","Lindenhof",47.3733041,8.5399637,"Entire home/apt",119
763485942216974464,"Moderne Wohnung in Zürich City!","Kreis 4","Langstrasse",47.37726,8.52579,"Entire home/apt",380
764088287301581184,"AlbisRoom","Kreis 4","Hard",47.3781811,8.5109633,"Private room",48
764266696246920832,"Gemütlicher Altbau Seenähe","Kreis 2","Wollishofen",47.34159,8.52898,"Entire home/apt",80
764345816757479296,"Appartment with ofice in Oerlikon","Kreis 11","Oerlikon",47.40155,8.54606,"Entire home/apt",109
764404248728140928,"Great Location Self Checkin Art Netflix TV Yoga","Kreis 3","Sihlfeld",47.37012,8.5247189,"Entire home/apt",125
765190490094601856,"Simple, quiet room to rent!","Kreis 2","Enge",47.3594,8.52599,"Private room",32
765616850549657984,"Centrical & cozy room 8min walking from Zurich HB","Kreis 6","Unterstrass",47.37958,8.54551,"Private room",104
765686312018529536,"Wiedikon 2.5 room w/ storage, 1 min to market","Kreis 3","Sihlfeld",47.3710739,8.5198204,"Entire home/apt",181
765686860159689088,"Wollishofen 2.5 room w/ w/d & storage, nr market","Kreis 2","Wollishofen",47.338338,8.5202643,"Entire home/apt",221
